  -0.0636 + 0.8563i
   0.5945 - 0.3052i
   0.0065 - 0.0959i
  -0.1664 + 0.2832i
  -0.1315 + 0.0342i
  -0.0869 - 0.1686i
   0.3323 - 0.2887i
  -0.1800 - 0.0438i
  -0.1517 + 0.3488i
  -0.2975 + 0.3189i
  -0.1421 - 0.1549i
  -0.3685 - 0.4741i
   1.2134 - 0.3661i
  -0.0271 + 0.7518i
  -0.1078 + 0.8545i
   0.0709 - 0.6870i
  -0.3771 - 0.2223i
  -0.4651 + 0.3622i
   0.6569 - 0.1753i
   0.3773 - 0.6336i
   0.3278 + 0.4564i
   0.1156 + 0.5391i
   0.2044 + 0.2281i
   0.0639 - 0.3417i
   0.6511 - 0.0728i
  -0.2250 + 0.3834i
  -0.2919 - 0.1038i
   0.1894 - 0.4912i
   0.3742 - 0.1107i
   0.3144 - 0.6981i
   0.0230 + 0.1128i
   0.1709 - 0.1352i
  -0.4660 + 0.1684i
  -0.2235 + 0.2597i
  -0.6478 - 0.1838i
   0.1586 - 0.6531i
   0.2217 - 0.7199i
   0.1680 - 0.4821i
   0.0067 + 0.0536i
  -0.8525 - 0.2277i
  -0.4994 - 0.2695i
   0.0881 + 0.0842i
  -0.5967 - 0.4054i
  -0.7669 + 0.1666i
  -0.2333 + 0.0487i
   0.1092 + 0.1306i
  -0.7108 - 0.3178i
   0.2858 - 0.2000i
   0.6666 - 0.0188i
  -0.5202 - 0.6301i
   0.1620 - 0.6467i
   0.2261 + 0.0680i
   0.9626 - 0.0937i
  -0.0029 - 0.0132i
  -0.8739 + 0.1023i
   0.0160 - 0.4548i
  -0.5931 - 0.1430i
   0.1471 + 0.3161i
  -0.3304 - 0.3293i
   0.4773 + 0.8507i
   0.3971 - 0.0897i
   0.2703 - 0.6186i
   0.1401 + 0.0683i
   0.0565 - 0.2302i
  -0.2715 + 0.2206i
  -0.0946 - 0.1249i
  -0.0796 + 0.9231i
   0.2804 + 0.0766i
  -0.0669 - 0.2760i
  -0.0824 + 0.0107i
   1.0969 - 0.2208i
   0.4969 + 0.4920i
   0.1288 - 0.2071i
   0.5847 - 0.5548i
  -0.9998 - 0.4999i
  -0.6450 - 0.1051i
   0.0691 + 0.0629i
   0.0640 - 0.0800i
  -0.2351 - 0.2624i
  -0.0798 - 0.1044i
  -0.8019 - 0.5727i
   0.5505 - 0.5312i
  -0.2062 + 0.4146i
  -0.9716 - 0.9188i
  -0.1919 + 0.0850i
   0.7924 + 0.1293i
   0.5406 + 0.0997i
  -0.3501 - 0.7643i
  -0.2104 - 0.8429i
   0.1859 + 0.2096i
  -0.5660 - 0.1912i
   0.2000 + 0.2342i
   0.5155 - 0.5704i
  -0.0814 + 0.1780i
  -0.4879 + 0.3434i
   0.2413 - 0.0113i
   0.5180 + 0.0432i
   0.8058 + 0.2438i
   0.1870 - 0.3776i
  -0.4435 - 0.5951i
  -0.3036 + 0.1630i
   0.4140 - 0.5261i
  -0.6620 - 0.2762i
  -0.1412 - 0.1839i
  -0.5306 - 0.4139i
   0.2581 - 0.0537i
   0.3451 + 0.1126i
  -0.4690 + 0.3921i
  -0.0938 - 0.8077i
   0.2704 - 0.1542i
   0.2671 - 0.5839i
  -0.0057 + 0.0827i
   0.0561 + 0.3014i
   0.1295 + 0.0941i
  -0.1325 + 0.0178i
   0.1220 - 0.1762i
  -0.5425 + 0.2223i
   0.6741 - 0.7540i
   0.1432 - 1.2309i
  -0.2189 + 0.2664i
   0.2916 + 0.7419i
   0.9945 - 0.0773i
  -0.1128 - 0.6030i
